Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1661.6931960784311
FDW14,OUT017,1412.156205042017
NCN55,OUT010,584.7577647727271
FDQ58,OUT017,2222.671282258065
FDY38,OUT027,6280.89088
FDH56,OUT046,1922.1493817142864
FDL48,OUT018,713.8586545454547
FDC48,OUT027,2517.8820884848487
FDN33,OUT045,1559.342975268817
FDA36,OUT017,2778.9892779999996
FDT44,OUT017,1922.1493817142864
FDQ56,OUT045,1412.156205042017
NCC54,OUT019,584.7577647727271
FDU11,OUT049,2149.6482482142856
DRL59,OUT013,713.8586545454547
FDM24,OUT049,2490.526886705202
FDI57,OUT045,2863.700914285714
DRC12,OUT018,3059.6163888111896
NCM42,OUT027,3242.0620715328487
FDA46,OUT010,482.6995426229506
FDA31,OUT013,2851.631695876289
NCJ31,OUT035,3735.2457029411758
FDG52,OUT046,798.2176035398229
NCL19,OUT019,281.48208181818205
FDS10,OUT035,3387.2047231707297
FDX22,OUT010,584.7577647727271
NCF19,OUT035,798.2176035398229
NCE06,OUT046,2222.671282258065
DRC27,OUT046,3855.1205479768782
FDE21,OUT035,1922.1493817142864
NCR42,OUT019,92.67548155339806
FDX51,OUT018,3059.6163888111896
NCR06,OUT018,507.0464036697249
FDU31,OUT027,5329.314724444447
FDU59,OUT017,2611.459542342341
FDR03,OUT027,5329.314724444447
FDS49,OUT027,2517.8820884848487
FDD48,OUT010,281.48208181818205
NCF18,OUT017,3216.7914510638307
NCD43,OUT027,2517.8820884848487
NCD54,OUT018,1752.2524399999995
FDY19,OUT010,281.48208181818205
NCY54,OUT017,2851.631695876289
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727271
FDC26,OUT013,1548.6861522123897
FDR14,OUT010,165.9185816513762
NCS41,OUT035,3387.2047231707297
FDF41,OUT035,3735.2457029411758
FDU34,OUT046,2149.6482482142856
DRH11,OUT046,842.2509434554973
FDM03,OUT013,1548.6861522123897
FDS31,OUT017,3387.2047231707297
FDJ20,OUT017,2149.6482482142856
FDV44,OUT027,5329.314724444447
FDG02,OUT049,2778.9892779999996
FDA09,OUT013,2851.631695876289
FDT04,OUT013,507.0464036697249
FDL58,OUT019,584.7577647727271
FDE52,OUT045,1353.0650169014084
FDW12,OUT035,2490.526886705202
FDL51,OUT017,3855.1205479768782
NCY42,OUT027,3242.0620715328487
FDR07,OUT017,1559.342975268817
FDN40,OUT045,2490.526886705202
FDB35,OUT027,2517.8820884848487
FDA22,OUT017,2611.459542342341
NCL06,OUT046,4543.765154901962
FDI35,OUT013,3387.2047231707297
NCW42,OUT045,3855.1205479768782
NCX06,OUT049,2568.332833644859
FDC37,OUT027,2517.8820884848487
FDZ14,OUT018,1752.2524399999995
DRG49,OUT049,3855.1205479768782
NCG06,OUT045,4129.650553043479
DRC36,OUT045,2851.631695876289
FDV21,OUT019,281.48208181818205
FDB53,OUT046,2660.950403030302
DRP47,OUT019,584.7577647727271
FDA14,OUT013,2660.950403030302
DRC24,OUT035,2660.950403030302
FDW21,OUT018,1372.688490740741
NCH29,OUT046,1559.342975268817
FDU58,OUT013,3059.6163888111896
FDY27,OUT017,2851.631695876289
FDV56,OUT035,1784.4287381818174
FDT59,OUT046,3662.4659299999994
FDB23,OUT046,3662.4659299999994
FDR49,OUT045,798.2176035398229
FDB03,OUT010,584.7577647727271
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444447
FDQ16,OUT027,2517.8820884848487
FDU35,OUT018,1372.688490740741
NCT29,OUT013,2004.8618317073167
FDZ27,OUT046,798.2176035398229
FDN57,OUT017,2309.2007980000008
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3387.2047231707297
NCU05,OUT013,1240.367307608695
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1559.342975268817
FDZ25,OUT017,2894.220710714286
FDG12,OUT046,2243.098194594595
DRB01,OUT019,482.6995426229506
NCC43,OUT027,6280.89088
FDX13,OUT019,584.7577647727271
FDM22,OUT049,842.2509434554973
FDJ03,OUT027,1378.2631852760735
FDU14,OUT018,3327.952582926828
FDB33,OUT010,346.8972837209303
FDP27,OUT046,3216.7914510638307
FDO38,OUT010,165.9185816513762
FDE28,OUT027,6280.89088
FDO27,OUT035,1559.342975268817
DRL23,OUT027,2517.8820884848487
FDS28,OUT046,842.2509434554973
FDX24,OUT013,1460.740766972476
FDZ02,OUT035,1559.342975268817
FDL46,OUT045,1827.8328454545453
FDS60,OUT027,5329.314724444447
NCO06,OUT017,583.8145788617886
FDO16,OUT035,1412.156205042017
FDC60,OUT049,1412.156205042017
FDA48,OUT018,3327.952582926828
FDZ36,OUT027,5329.314724444447
FDK27,OUT045,1827.8328454545453
FDW23,OUT018,507.0464036697249
FDM14,OUT018,1372.688490740741
FDM14,OUT013,1661.6931960784311
FDW60,OUT018,2851.631695876289
FDE21,OUT013,1922.1493817142864
NCM42,OUT035,1879.0540499999997
FDY59,OUT010,219.21852093023256
DRI49,OUT049,1240.367307608695
FDT28,OUT019,346.8972837209303
FDQ22,OUT018,507.0464036697249
FDR60,OUT049,1240.367307608695
FDC50,OUT019,219.21852093023256
FDV24,OUT013,2490.526886705202
DRF48,OUT010,482.6995426229506
FDQ47,OUT046,583.8145788617886
DRN36,OUT049,1559.342975268817
NCY06,OUT035,2004.8618317073167
FDE52,OUT035,1353.0650169014084
NCB54,OUT045,1827.8328454545453
NCF31,OUT035,2490.526886705202
FDJ08,OUT027,5329.314724444447
NCC07,OUT017,1661.6931960784311
NCD19,OUT027,1378.2631852760735
FDL46,OUT049,2004.8618317073167
FDM20,OUT045,4332.779102857145
NCI06,OUT010,425.93559145299145
DRM11,OUT035,4543.765154901962
NCH07,OUT018,2232.8470218487396
FDS23,OUT013,2149.6482482142856
FDO49,OUT018,713.8586545454547
FDS35,OUT049,1103.1862133333332
DRK39,OUT045,1412.156205042017
DRI39,OUT049,842.2509434554973
FDV04,OUT017,2222.671282258065
NCN14,OUT035,3387.2047231707297
FDH08,OUT013,3662.4659299999994
FDS20,OUT046,3387.2047231707297
FDV40,OUT049,1103.1862133333332
FDZ48,OUT010,281.48208181818205
FDS24,OUT027,2517.8820884848487
FDK44,OUT049,2568.332833644859
FDS48,OUT045,2660.950403030302
FDK26,OUT010,482.6995426229506
FDD23,OUT045,3059.6163888111896
NCH54,OUT017,2894.220710714286
NCP14,OUT010,219.21852093023256
FDM60,OUT010,92.67548155339806
FDV24,OUT017,2490.526886705202
FDH08,OUT018,3327.952582926828
FDS12,OUT027,3242.0620715328487
FDR39,OUT027,5329.314724444447
FDP12,OUT027,1378.2631852760735
DRF60,OUT027,6280.89088
FDC09,OUT035,1784.4287381818174
FDF50,OUT018,3216.7914510638307
FDG28,OUT035,3855.1205479768782
NCE19,OUT017,842.2509434554973
NCM53,OUT010,281.48208181818205
NCN18,OUT049,1548.6861522123897
FDF32,OUT035,2863.700914285714
FDF11,OUT013,3662.4659299999994
DRI59,OUT049,4332.779102857145
NCG54,OUT035,2894.220710714286
FDM44,OUT046,1661.6931960784311
FDT57,OUT018,3327.952582926828
FDV24,OUT046,2490.526886705202
FDI50,OUT019,584.7577647727271
FDS09,OUT035,713.8586545454547
NCC31,OUT027,4117.317712631579
FDQ07,OUT019,584.7577647727271
FDC22,OUT017,3216.7914510638307
FDZ56,OUT046,2894.220710714286
FDZ40,OUT019,165.9185816513762
FDS46,OUT027,3242.0620715328487
DRD24,OUT045,1827.8328454545453
FDV45,OUT017,3059.6163888111896
FDL26,OUT045,2894.220710714286
FDA56,OUT018,1752.2524399999995
FDN27,OUT046,1922.1493817142864
FDM20,OUT049,4332.779102857145
FDO16,OUT017,1412.156205042017
FDL03,OUT035,3059.6163888111896
FDE58,OUT046,1922.1493817142864
FDI02,OUT027,3242.0620715328487
NCC55,OUT019,92.67548155339806
FDR03,OUT018,3327.952582926828
FDB14,OUT017,1460.740766972476
FDR45,OUT013,4332.779102857145
NCN07,OUT017,2243.098194594595
FDM51,OUT019,219.21852093023256
FDT52,OUT027,6280.89088
FDL26,OUT046,2660.950403030302
NCZ42,OUT046,3662.4659299999994
DRI47,OUT019,346.8972837209303
FDW40,OUT013,2309.2007980000008
FDN34,OUT046,2894.220710714286
FDS01,OUT035,2851.631695876289
NCG55,OUT045,1827.8328454545453
FDC11,OUT035,1353.0650169014084
FDX35,OUT018,3327.952582926828
NCB06,OUT046,2894.220710714286
FDR09,OUT019,584.7577647727271
FDC53,OUT017,1559.342975268817
FDY45,OUT013,4543.765154901962
FDA22,OUT010,425.93559145299145
FDE02,OUT035,1559.342975268817
FDW21,OUT045,1879.0540499999997
FDV34,OUT046,1103.1862133333332
FDS59,OUT049,1784.4287381818174
NCW17,OUT017,2243.098194594595
NCK54,OUT046,1922.1493817142864
FDG17,OUT019,584.7577647727271
FDG35,OUT017,3104.189829906542
FDD08,OUT010,92.67548155339806
NCO07,OUT017,3662.4659299999994
FDJ10,OUT010,281.48208181818205
FDW36,OUT017,1548.6861522123897
FDW21,OUT010,219.21852093023256
FDY19,OUT017,1922.1493817142864
DRE03,OUT013,798.2176035398229
NCC55,OUT049,677.1027476190477
FDH52,OUT010,165.9185816513762
FDO09,OUT017,3993.1739115384607
FDU43,OUT045,3855.1205479768782
FDX09,OUT010,425.93559145299145
FDH40,OUT019,219.21852093023256
FDW58,OUT017,1661.6931960784311
FDC47,OUT017,3735.2457029411758
NCR41,OUT035,1559.342975268817
DRG49,OUT035,3855.1205479768782
FDC52,OUT027,4117.317712631579
FDY13,OUT046,1103.1862133333332
FDY35,OUT013,507.0464036697249
FDI35,OUT017,3387.2047231707297
NCU18,OUT049,2309.2007980000008
FDY33,OUT018,2232.8470218487396
FDC15,OUT027,4117.317712631579
FDU01,OUT049,2863.700914285714
NCU42,OUT046,2611.459542342341
NCV29,OUT018,2851.631695876289
NCY30,OUT017,3387.2047231707297
FDQ46,OUT049,1879.0540499999997
FDG58,OUT027,4117.317712631579
FDK33,OUT017,3662.4659299999994
NCD07,OUT045,1827.8328454545453
NCX29,OUT027,4117.317712631579
NCT42,OUT013,2490.526886705202
DRN59,OUT035,798.2176035398229
FDI44,OUT035,1240.367307608695
FDA45,OUT049,2568.332833644859
FDP31,OUT045,1103.1862133333332
FDY01,OUT046,1922.1493817142864
FDT09,OUT018,1752.2524399999995
DRH03,OUT027,2517.8820884848487
FDA36,OUT018,2778.9892779999996
NCF31,OUT017,2222.671282258065
FDG14,OUT049,2490.526886705202
FDG28,OUT027,6280.89088
FDU14,OUT049,4129.650553043479
FDY47,OUT019,281.48208181818205
FDI56,OUT049,1412.156205042017
DRD01,OUT013,842.2509434554973
FDM22,OUT046,842.2509434554973
FDH33,OUT013,507.0464036697249
DRZ24,OUT013,1922.1493817142864
NCQ38,OUT046,1661.6931960784311
FDO16,OUT027,2517.8820884848487
FDU07,OUT027,4117.317712631579
NCB07,OUT013,3216.7914510638307
FDU48,OUT045,1827.8328454545453
NCM43,OUT045,2894.220710714286
FDR31,OUT010,346.8972837209303
DRK49,OUT018,507.0464036697249
NCI30,OUT010,584.7577647727271
DRD60,OUT017,3387.2047231707297
NCG19,OUT046,3735.2457029411758
FDH12,OUT035,1548.6861522123897
FDM32,OUT035,1460.740766972476
FDM27,OUT035,2894.220710714286
NCU53,OUT027,4117.317712631579
NCQ18,OUT046,1559.342975268817
FDS10,OUT013,2568.332833644859
FDB33,OUT027,4117.317712631579
FDI12,OUT013,1353.0650169014084
NCW42,OUT013,3855.1205479768782
NCC06,OUT018,1752.2524399999995
FDW02,OUT017,2004.8618317073167
NCD43,OUT017,1661.6931960784311
FDM57,OUT018,1240.367307608695
FDA58,OUT017,3735.2457029411758
FDK56,OUT046,3387.2047231707297
FDP52,OUT045,3855.1205479768782
FDW20,OUT018,1752.2524399999995
FDS52,OUT049,1661.6931960784311
NCT29,OUT018,1752.2524399999995
NCL54,OUT013,2851.631695876289
FDC05,OUT045,3216.7914510638307
FDF34,OUT035,2778.9892779999996
FDP03,OUT027,3242.0620715328487
FDD32,OUT010,219.21852093023256
FDZ10,OUT045,1827.8328454545453
FDZ40,OUT035,842.2509434554973
FDD51,OUT018,507.0464036697249
NCY30,OUT019,425.93559145299145
FDP58,OUT017,3380.874504347825
FDV49,OUT017,4129.650553043479
FDY24,OUT019,165.9185816513762
NCO55,OUT017,1548.6861522123897
FDR13,OUT017,1922.1493817142864
FDS51,OUT017,937.7102075471698
FDP26,OUT045,1879.0540499999997
NCB54,OUT027,3242.0620715328487
FDF32,OUT017,2863.700914285714
FDN31,OUT018,3216.7914510638307
DRM48,OUT017,583.8145788617886
FDN20,OUT049,2453.7477006993004
DRL01,OUT046,3855.1205479768782
FDV56,OUT049,1784.4287381818174
DRH13,OUT027,2517.8820884848487
FDA03,OUT017,2453.7477006993004
FDF47,OUT027,5329.314724444447
FDX32,OUT046,2660.950403030302
FDX57,OUT049,1559.342975268817
NCA30,OUT045,3216.7914510638307
FDO49,OUT013,713.8586545454547
FDL04,OUT019,219.21852093023256
DRM48,OUT035,583.8145788617886
FDR16,OUT013,3380.874504347825
NCC19,OUT018,3216.7914510638307
NCE42,OUT045,3662.4659299999994
FDY24,OUT017,842.2509434554973
FDH19,OUT049,2568.332833644859
FDJ46,OUT013,2851.631695876289
FDN45,OUT010,584.7577647727271
FDY08,OUT035,2149.6482482142856
FDZ37,OUT035,1412.156205042017
NCT30,OUT045,798.2176035398229
DRY23,OUT018,507.0464036697249
NCZ30,OUT018,1752.2524399999995
FDC44,OUT018,1752.2524399999995
FDB45,OUT035,1661.6931960784311
FDY04,OUT013,2894.220710714286
FDM27,OUT046,2894.220710714286
FDZ43,OUT017,3855.1205479768782
FDT39,OUT019,346.8972837209303
NCC06,OUT019,281.48208181818205
FDL15,OUT027,4117.317712631579
FDL57,OUT017,4543.765154901962
FDU08,OUT046,1559.342975268817
FDK40,OUT017,4129.650553043479
FDQ12,OUT010,584.7577647727271
FDS48,OUT017,2660.950403030302
FDP09,OUT045,4332.779102857145
FDW21,OUT049,1559.342975268817
FDY25,OUT035,3387.2047231707297
DRE13,OUT017,1412.156205042017
FDV43,OUT019,92.67548155339806
FDD22,OUT045,1548.6861522123897
FDM46,OUT019,219.21852093023256
NCO30,OUT010,482.6995426229506
FDM25,OUT046,2851.631695876289
NCN41,OUT049,2004.8618317073167
FDU24,OUT045,1460.740766972476
FDZ50,OUT046,3387.2047231707297
FDP45,OUT013,4129.650553043479
NCM54,OUT045,1827.8328454545453
FDW10,OUT019,425.93559145299145
FDP20,OUT017,2004.8618317073167
FDK32,OUT046,2660.950403030302
FDN52,OUT049,1353.0650169014084
FDM58,OUT045,1784.4287381818174
FDZ46,OUT027,3242.0620715328487
NCA18,OUT018,1752.2524399999995
FDD35,OUT046,2243.098194594595
NCK31,OUT035,713.8586545454547
FDI40,OUT027,2517.8820884848487
FDT50,OUT019,219.21852093023256
NCT06,OUT046,2894.220710714286
FDT31,OUT035,2778.9892779999996
FDT45,OUT049,842.2509434554973
FDT13,OUT045,2778.9892779999996
FDO50,OUT045,1353.0650169014084
NCU18,OUT010,281.48208181818205
NCR54,OUT049,3216.7914510638307
NCO18,OUT018,2851.631695876289
FDU09,OUT045,842.2509434554973
FDT13,OUT018,3059.6163888111896
FDE09,OUT046,1661.6931960784311
NCK53,OUT019,219.21852093023256
FDG45,OUT049,3855.1205479768782
DRH15,OUT035,677.1027476190477
FDO21,OUT019,584.7577647727271
FDD14,OUT027,5329.314724444447
FDC09,OUT046,1784.4287381818174
FDH45,OUT027,1378.2631852760735
FDV32,OUT046,1103.1862133333332
FDG12,OUT035,2243.098194594595
FDS32,OUT013,2309.2007980000008
NCL55,OUT018,3327.952582926828
DRE01,OUT035,3735.2457029411758
DRE15,OUT049,1240.367307608695
NCL42,OUT045,4332.779102857145
FDP31,OUT013,1103.1862133333332
FDN33,OUT018,1460.740766972476
FDZ59,OUT046,2611.459542342341
FDE45,OUT010,425.93559145299145
FDJ07,OUT013,1922.1493817142864
FDQ45,OUT018,2778.9892779999996
FDM33,OUT027,5329.314724444447
FDO15,OUT010,165.9185816513762
FDM46,OUT013,1460.740766972476
FDR03,OUT045,3662.4659299999994
FDY49,OUT018,2232.8470218487396
FDQ60,OUT045,1827.8328454545453
FDW10,OUT049,2568.332833644859
FDO51,OUT049,677.1027476190477
FDJ40,OUT018,1372.688490740741
FDS20,OUT018,3387.2047231707297
FDU45,OUT013,1922.1493817142864
FDV02,OUT035,2894.220710714286
FDN09,OUT046,4332.779102857145
NCM55,OUT027,5329.314724444447
FDN23,OUT018,2232.8470218487396
FDY31,OUT010,346.8972837209303
FDW03,OUT010,219.21852093023256
FDD14,OUT046,3387.2047231707297
FDV23,OUT017,2149.6482482142856
DRI03,OUT045,2851.631695876289
FDN13,OUT035,1559.342975268817
FDF45,OUT027,1378.2631852760735
FDU46,OUT035,1353.0650169014084
FDB57,OUT049,3662.4659299999994
FDV12,OUT049,1559.342975268817
FDQ58,OUT013,2490.526886705202
NCA18,OUT017,1922.1493817142864
FDH52,OUT049,937.7102075471698
FDM24,OUT018,2232.8470218487396
NCP43,OUT027,5329.314724444447
NCO18,OUT019,425.93559145299145
FDM32,OUT017,1353.0650169014084
NCL07,OUT017,583.8145788617886
FDK03,OUT013,4543.765154901962
FDP59,OUT017,1784.4287381818174
FDQ24,OUT049,4543.765154901962
FDQ16,OUT018,1372.688490740741
FDU44,OUT013,2894.220710714286
FDH28,OUT010,92.67548155339806
FDV28,OUT019,92.67548155339806
FDM22,OUT045,842.2509434554973
FDR56,OUT046,3216.7914510638307
FDV39,OUT049,2778.9892779999996
FDU37,OUT019,165.9185816513762
FDQ11,OUT010,584.7577647727271
FDX02,OUT045,3855.1205479768782
NCS42,OUT018,1460.740766972476
FDY57,OUT027,2517.8820884848487
FDB21,OUT049,3735.2457029411758
FDE28,OUT017,3735.2457029411758
FDQ55,OUT017,1922.1493817142864
FDA48,OUT049,3380.874504347825
FDZ19,OUT045,2851.631695876289
NCC43,OUT045,3993.1739115384607
NCV18,OUT046,1412.156205042017
NCA42,OUT018,2232.8470218487396
FDY45,OUT046,4129.650553043479
NCC30,OUT045,2568.332833644859
FDM57,OUT013,1240.367307608695
FDL09,OUT010,425.93559145299145
FDB09,OUT027,3242.0620715328487
FDT44,OUT035,2149.6482482142856
NCT06,OUT027,4117.317712631579
FDX26,OUT049,3387.2047231707297
FDK32,OUT013,2660.950403030302
DRA12,OUT046,2309.2007980000008
FDO46,OUT010,482.6995426229506
FDE52,OUT013,1353.0650169014084
NCH42,OUT045,4332.779102857145
FDV08,OUT035,677.1027476190477
FDB47,OUT018,3327.952582926828
FDC28,OUT010,281.48208181818205
FDD22,OUT046,1922.1493817142864
FDS07,OUT027,3242.0620715328487
DRI13,OUT045,3662.4659299999994
FDG32,OUT018,3327.952582926828
FDU14,OUT017,4129.650553043479
FDD28,OUT019,165.9185816513762
NCP41,OUT017,1661.6931960784311
FDS08,OUT049,2851.631695876289
FDX47,OUT045,2222.671282258065
FDC53,OUT019,219.21852093023256
FDQ19,OUT035,3662.4659299999994
FDL14,OUT045,2222.671282258065
FDM33,OUT019,584.7577647727271
FDA51,OUT045,1827.8328454545453
FDZ27,OUT018,713.8586545454547
FDT04,OUT046,677.1027476190477
DRC13,OUT049,2243.098194594595
FDR16,OUT027,5329.314724444447
FDQ03,OUT027,6280.89088
FDE38,OUT035,2611.459542342341
DRH23,OUT027,1378.2631852760735
FDT11,OUT019,482.6995426229506
FDD09,OUT035,2851.631695876289
FDR40,OUT045,1240.367307608695
FDX07,OUT017,3387.2047231707297
FDR07,OUT035,1559.342975268817
FDA51,OUT017,1922.1493817142864
FDT59,OUT019,584.7577647727271
FDF20,OUT017,3059.6163888111896
FDR13,OUT045,1827.8328454545453
FDY26,OUT049,4332.779102857145
FDW04,OUT017,2004.8618317073167
FDK52,OUT017,3735.2457029411758
FDN60,OUT049,2894.220710714286
FDM09,OUT019,425.93559145299145
FDP46,OUT049,1353.0650169014084
FDB50,OUT019,165.9185816513762
NCQ29,OUT049,3993.1739115384607
FDP16,OUT027,6280.89088
FDX33,OUT018,2232.8470218487396
FDP07,OUT010,482.6995426229506
FDN22,OUT046,3993.1739115384607
FDF39,OUT049,4543.765154901962
FDS21,OUT017,937.7102075471698
NCM42,OUT013,1879.0540499999997
FDK50,OUT019,425.93559145299145
DRF13,OUT027,4117.317712631579
FDH35,OUT018,2232.8470218487396
FDP60,OUT018,1372.688490740741
DRJ49,OUT027,3242.0620715328487
NCT42,OUT019,346.8972837209303
FDE38,OUT049,2611.459542342341
FDI04,OUT049,3216.7914510638307
NCH54,OUT045,2894.220710714286
FDT56,OUT049,937.7102075471698
DRD15,OUT018,3327.952582926828
FDV58,OUT013,2863.700914285714
FDP21,OUT049,3059.6163888111896
FDH05,OUT013,3735.2457029411758
FDR10,OUT027,4117.317712631579
NCP06,OUT045,2453.7477006993004
FDF33,OUT049,1879.0540499999997
DRK37,OUT013,2863.700914285714
DRH49,OUT045,1240.367307608695
FDT58,OUT013,2611.459542342341
FDD41,OUT018,1372.688490740741
FDP40,OUT018,1372.688490740741
FDM51,OUT027,2517.8820884848487
FDO45,OUT010,219.21852093023256
FDW33,OUT010,219.21852093023256
FDY24,OUT045,842.2509434554973
FDB10,OUT010,584.7577647727271
FDM40,OUT035,2309.2007980000008
NCI06,OUT017,3387.2047231707297
FDW12,OUT019,346.8972837209303
FDX48,OUT027,4117.317712631579
NCW05,OUT027,2517.8820884848487
FDX27,OUT017,1559.342975268817
DRM37,OUT045,3216.7914510638307
FDA38,OUT045,4332.779102857145
FDR36,OUT046,677.1027476190477
FDZ45,OUT046,2863.700914285714
FDG05,OUT017,2222.671282258065
FDK28,OUT013,4543.765154901962
FDV47,OUT045,1353.0650169014084
FDN21,OUT045,2453.7477006993004
FDP20,OUT027,3242.0620715328487
FDI35,OUT045,3387.2047231707297
DRY23,OUT013,507.0464036697249
FDA56,OUT017,2243.098194594595
FDB09,OUT013,2004.8618317073167
NCO26,OUT027,3242.0620715328487
FDQ49,OUT018,2232.8470218487396
FDI52,OUT027,3242.0620715328487
FDZ44,OUT027,3242.0620715328487
FDZ09,OUT018,2232.8470218487396
FDY03,OUT049,1922.1493817142864
NCG42,OUT017,2004.8618317073167
DRI13,OUT027,5329.314724444447
FDQ32,OUT013,2004.8618317073167
FDW16,OUT035,1353.0650169014084
FDU27,OUT046,798.2176035398229
FDR28,OUT010,425.93559145299145
FDQ49,OUT010,346.8972837209303
FDS37,OUT046,1922.1493817142864
FDW26,OUT018,3327.952582926828
FDX12,OUT018,3327.952582926828
NCP06,OUT013,2453.7477006993004
FDW45,OUT010,346.8972837209303
NCN30,OUT049,1559.342975268817
FDN24,OUT049,842.2509434554973
NCL41,OUT027,1378.2631852760735
FDR02,OUT019,281.48208181818205
FDD09,OUT010,425.93559145299145
FDS33,OUT010,219.21852093023256
FDU22,OUT045,1827.8328454545453
FDI53,OUT013,2611.459542342341
DRH01,OUT049,2568.332833644859
FDX32,OUT013,2309.2007980000008
NCP30,OUT018,507.0464036697249
FDB60,OUT045,3059.6163888111896
FDB14,OUT049,1460.740766972476
NCP02,OUT035,842.2509434554973
FDJ10,OUT017,2309.2007980000008
FDG34,OUT046,1784.4287381818174
NCB18,OUT017,1353.0650169014084
FDM16,OUT049,1103.1862133333332
FDW25,OUT018,1412.156205042017
FDB35,OUT010,219.21852093023256
DRN11,OUT013,2309.2007980000008
FDF41,OUT019,584.7577647727271
FDH16,OUT045,1353.0650169014084
NCQ50,OUT018,3327.952582926828
