Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1735.8992719626171
FDW14,OUT017,1262.93882384106
NCN55,OUT010,542.9755395973153
FDQ58,OUT017,2336.3497827027018
FDY38,OUT027,5669.163351428568
FDH56,OUT046,1874.430959859155
FDL48,OUT018,754.5960957264957
FDC48,OUT027,2513.079854666666
FDN33,OUT045,1517.6348566210047
FDA36,OUT017,3035.8932718309834
FDT44,OUT017,1874.430959859155
FDQ56,OUT045,1349.2029098814232
NCC54,OUT019,542.9755395973153
FDU11,OUT049,2153.3142637362625
DRL59,OUT013,754.5960957264957
FDM24,OUT049,2410.0863865853667
FDI57,OUT045,2931.788768720378
DRC12,OUT018,3035.8932718309834
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973153
FDA31,OUT013,2736.9684298755183
NCJ31,OUT035,3956.960966486485
FDG52,OUT046,754.5960957264957
NCL19,OUT019,286.4177705128204
FDS10,OUT035,3035.8932718309834
FDX22,OUT010,542.9755395973153
NCF19,OUT035,754.5960957264957
NCE06,OUT046,2662.294636448599
DRC27,OUT046,3956.960966486485
FDE21,OUT035,1874.430959859155
NCR42,OUT019,130.33349056603777
FDX51,OUT018,2931.788768720378
NCR06,OUT018,637.5735090128758
FDU31,OUT027,5669.163351428568
FDU59,OUT017,2608.1464869198326
FDR03,OUT027,5669.163351428568
FDS49,OUT027,2513.079854666666
FDD48,OUT010,286.4177705128204
NCF18,OUT017,3035.8932718309834
NCD43,OUT027,2513.079854666666
NCD54,OUT018,1961.8131869822487
FDY19,OUT010,286.4177705128204
NCY54,OUT017,2997.4076790419153
NCL19,OUT018,2559.2529541176477
FDP23,OUT010,542.9755395973153
FDC26,OUT013,1735.8992719626171
FDR14,OUT010,130.33349056603777
NCS41,OUT035,3035.8932718309834
FDF41,OUT035,3956.960966486485
FDU34,OUT046,2153.3142637362625
DRH11,OUT046,876.3205797979799
FDM03,OUT013,1735.8992719626171
FDS31,OUT017,3035.8932718309834
FDJ20,OUT017,2022.537150961537
FDV44,OUT027,5669.163351428568
FDG02,OUT049,3343.839091150442
FDA09,OUT013,2736.9684298755183
FDT04,OUT013,637.5735090128758
FDL58,OUT019,542.9755395973153
FDE52,OUT045,1437.187002666667
FDW12,OUT035,2559.2529541176477
FDL51,OUT017,3628.94806124031
NCY42,OUT027,3175.335988157896
FDR07,OUT017,1517.6348566210047
FDN40,OUT045,2336.3497827027018
FDB35,OUT027,2513.079854666666
FDA22,OUT017,2608.1464869198326
NCL06,OUT046,4311.5762513157915
FDI35,OUT013,3343.839091150442
NCW42,OUT045,3628.94806124031
NCX06,OUT049,2736.9684298755183
FDC37,OUT027,3175.335988157896
FDZ14,OUT018,2022.537150961537
DRG49,OUT049,3956.960966486485
NCG06,OUT045,4131.978437869822
DRC36,OUT045,2997.4076790419153
FDV21,OUT019,286.4177705128204
FDB53,OUT046,2410.0863865853667
DRP47,OUT019,542.9755395973153
FDA14,OUT013,2559.2529541176477
DRC24,OUT035,2336.3497827027018
FDW21,OUT018,1622.9196420689652
NCH29,OUT046,1517.6348566210047
FDU58,OUT013,3343.839091150442
FDY27,OUT017,2736.9684298755183
FDV56,OUT035,1622.9196420689652
FDT59,OUT046,3852.7519279569924
FDB23,OUT046,3852.7519279569924
FDR49,OUT045,754.5960957264957
FDB03,OUT010,542.9755395973153
FDN39,OUT045,2608.1464869198326
FDX02,OUT027,5669.163351428568
FDQ16,OUT027,3175.335988157896
FDU35,OUT018,1517.6348566210047
NCT29,OUT013,2153.3142637362625
FDZ27,OUT046,754.5960957264957
FDN57,OUT017,1961.8131869822487
FDA03,OUT018,2559.2529541176477
FDZ36,OUT045,3035.8932718309834
NCU05,OUT013,1349.2029098814232
