Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1826.0
FDW14,OUT017,1576.0
NCN55,OUT010,1862.0
FDQ58,OUT017,2592.0
FDY38,OUT027,5214.0
FDH56,OUT046,1936.0
FDL48,OUT018,610.0
FDC48,OUT027,2814.0
FDN33,OUT045,1520.0
FDA36,OUT017,3092.0
FDT44,OUT017,1996.0
FDQ56,OUT045,1320.0
NCC54,OUT019,1830.0
FDU11,OUT049,2046.0
DRL59,OUT013,868.0
FDM24,OUT049,2546.0
FDI57,OUT045,3080.0
DRC12,OUT018,2758.0
NCM42,OUT027,3214.0
FDA46,OUT010,1138.0
FDA31,OUT013,2792.0
NCJ31,OUT035,3918.0
FDG52,OUT046,808.0
NCL19,OUT019,338.0
FDS10,OUT035,3074.0
FDX22,OUT010,1466.0
NCF19,OUT035,966.0
NCE06,OUT046,2536.0
DRC27,OUT046,3844.0
FDE21,OUT035,2082.0
NCR42,OUT019,-1386.0
FDX51,OUT018,2882.0
NCR06,OUT018,430.0
FDU31,OUT027,4978.0
FDU59,OUT017,2720.0
FDR03,OUT027,4782.0
FDS49,OUT027,2790.0
FDD48,OUT010,-70.0
NCF18,OUT017,3100.0
NCD43,OUT027,3118.0
NCD54,OUT018,1986.0
FDY19,OUT010,-38.0
NCY54,OUT017,2812.0
NCL19,OUT018,2018.0
FDP23,OUT010,1538.0
FDC26,OUT013,1808.0
FDR14,OUT010,-1026.0
NCS41,OUT035,3070.0
FDF41,OUT035,4106.0
FDU34,OUT046,2004.0
DRH11,OUT046,932.0
FDM03,OUT013,1720.0
FDS31,OUT017,3028.0
FDJ20,OUT017,2096.0
FDV44,OUT027,4526.0
FDG02,OUT049,3094.0
FDA09,OUT013,2912.0
FDT04,OUT013,664.0
FDL58,OUT019,2278.0
FDE52,OUT045,1452.0
FDW12,OUT035,2566.0
FDL51,OUT017,3548.0
NCY42,OUT027,3710.0
FDR07,OUT017,1660.0
FDN40,OUT045,2372.0
FDB35,OUT027,2990.0
FDA22,OUT017,2744.0
NCL06,OUT046,4104.0
FDI35,OUT013,2896.0
NCW42,OUT045,3396.0
NCX06,OUT049,2910.0
FDC37,OUT027,3230.0
FDZ14,OUT018,1754.0
DRG49,OUT049,3930.0
NCG06,OUT045,3940.0
DRC36,OUT045,2712.0
FDV21,OUT019,46.0
FDB53,OUT046,2360.0
DRP47,OUT019,2010.0
