Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1584.9473298291146
FDW14,OUT017,1456.3419446702212
NCN55,OUT010,571.7443813413387
FDQ58,OUT017,2482.768915396775
FDY38,OUT027,5855.495842482297
FDH56,OUT046,1923.1894394650717
FDL48,OUT018,741.2785994484154
FDC48,OUT027,2072.973552025034
FDN33,OUT045,1541.4080694593652
FDA36,OUT017,3066.6027388945054
FDT44,OUT017,1963.6461637517557
FDQ56,OUT045,1438.7464507865268
NCC54,OUT019,571.5907735336848
FDU11,OUT049,2029.2564556971643
DRL59,OUT013,847.4871742650314
FDM24,OUT049,2467.9211719971117
FDI57,OUT045,3106.637474851941
DRC12,OUT018,3067.790049225904
NCM42,OUT027,2903.809367166366
FDA46,OUT010,508.4228133678509
FDA31,OUT013,2850.149848166342
NCJ31,OUT035,3879.100864344279
FDG52,OUT046,743.3861093842329
NCL19,OUT019,287.1207731666777
FDS10,OUT035,3038.1521778243
FDX22,OUT010,568.5450570842651
NCF19,OUT035,741.3823442691408
NCE06,OUT046,2577.9242616027805
DRC27,OUT046,3914.7182171420136
FDE21,OUT035,1923.1894394650717
NCR42,OUT019,131.7101042619248
FDX51,OUT018,3067.790049225904
NCR06,OUT018,664.9217230745638
FDU31,OUT027,5855.495842482297
FDU59,OUT017,2584.221725698704
FDR03,OUT027,5855.495842482297
FDS49,OUT027,1964.9682357833394
FDD48,OUT010,267.3350852516174
NCF18,OUT017,3067.790049225904
NCD43,OUT027,2846.791165005007
NCD54,OUT018,2139.679376117926
FDY19,OUT010,267.69048876563977
NCY54,OUT017,2845.1166984832034
NCL19,OUT018,2457.285480648226
FDP23,OUT010,571.3827711498183
FDC26,OUT013,1689.8481756147742
FDR14,OUT010,131.7101042619248
NCS41,OUT035,3066.6027388945054
FDF41,OUT035,3913.7438497975386
FDU34,OUT046,2031.8690991901285
DRH11,OUT046,953.520339592149
FDM03,OUT013,1584.7901234145584
FDS31,OUT017,3046.2807750286843
FDJ20,OUT017,2029.2564556971643
FDV44,OUT027,5169.031524834719
FDG02,OUT049,3066.6027388945054
FDA09,OUT013,2983.700657468912
FDT04,OUT013,709.2820081882184
FDL58,OUT019,571.5907735336848
FDE52,OUT045,1490.0404020611306
FDW12,OUT035,2457.285480648226
FDL51,OUT017,3672.558635259559
NCY42,OUT027,3031.3660761367814
FDR07,OUT017,1541.4080694593652
FDN40,OUT045,2478.1469000529046
FDB35,OUT027,2655.2392030267933
FDA22,OUT017,2585.8885979772963
NCL06,OUT046,4079.2295755777486
FDI35,OUT013,3046.2807750286843
NCW42,OUT045,3779.3458883937983
NCX06,OUT049,2994.5934791128598
FDC37,OUT027,2885.1071739948134
FDZ14,OUT018,2029.2564556971643
DRG49,OUT049,3914.3428025116086
