Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1648.6959623161488
FDW14,OUT017,1369.3086589256886
NCN55,OUT010,572.5121936391502
FDQ58,OUT017,2449.4970335918306
FDY38,OUT027,5863.589520526498
FDH56,OUT046,1951.3272277443505
FDL48,OUT018,755.5390950180638
FDC48,OUT027,2129.9167795303265
FDN33,OUT045,1516.9958629662017
FDA36,OUT017,3100.339548795588
FDT44,OUT017,1923.255578020081
FDQ56,OUT045,1363.6400146414412
NCC54,OUT019,572.2743400758525
FDU11,OUT049,2025.6398548481632
DRL59,OUT013,885.7547957479791
FDM24,OUT049,2449.3786523222543
FDI57,OUT045,3060.972819689794
DRC12,OUT018,2919.417714889995
NCM42,OUT027,2915.9864902466575
FDA46,OUT010,507.3045926370632
FDA31,OUT013,2863.299379297544
NCJ31,OUT035,3851.058642165775
FDG52,OUT046,796.5167027071782
NCL19,OUT019,288.0289542753272
FDS10,OUT035,2970.7871514650556
FDX22,OUT010,562.482405470654
NCF19,OUT035,759.0267857990555
NCE06,OUT046,2528.1698328189145
DRC27,OUT046,3911.455630130822
FDE21,OUT035,1952.3258366103703
NCR42,OUT019,131.35352198113156
FDX51,OUT018,2977.347828236545
NCR06,OUT018,620.0435120986202
FDU31,OUT027,5863.589520526498
FDU59,OUT017,2534.266106183425
FDR03,OUT027,5861.91031735701
FDS49,OUT027,2022.6664346559087
FDD48,OUT010,265.90995616181624
NCF18,OUT017,3018.4215489646986
NCD43,OUT027,2855.235824255243
NCD54,OUT018,2119.7622741896294
FDY19,OUT010,266.6447954761203
NCY54,OUT017,2876.4146070564793
NCL19,OUT018,2428.9367355674112
FDP23,OUT010,571.6534475718149
FDC26,OUT013,1730.273225651259
FDR14,OUT010,131.35352198113156
NCS41,OUT035,3128.3263997360696
FDF41,OUT035,3885.335430840779
FDU34,OUT046,2051.762203550836
DRH11,OUT046,939.9601695996408
FDM03,OUT013,1648.5694718708185
FDS31,OUT017,3064.2148489828473
FDJ20,OUT017,1993.591891674678
FDV44,OUT027,5181.268262541933
FDG02,OUT049,3118.5462560995284
FDA09,OUT013,2991.946786592555
FDT04,OUT013,703.2426902331862
FDL58,OUT019,572.2743400758525
FDE52,OUT045,1388.3914866780237
FDW12,OUT035,2474.1523519166626
FDL51,OUT017,3691.878915885516
NCY42,OUT027,3017.423020530552
FDR07,OUT017,1538.5900196436808
FDN40,OUT045,2463.964586707784
FDB35,OUT027,2718.2813173168342
FDA22,OUT017,2539.121189459916
NCL06,OUT046,4180.623082297442
FDI35,OUT013,3046.067961128983
NCW42,OUT045,3780.5516621138486
NCX06,OUT049,3002.2801464329905
FDC37,OUT027,2884.878715432127
FDZ14,OUT018,1943.0510383540645
DRG49,OUT049,3904.8001233748273
NCG06,OUT045,4119.274165086142
DRC36,OUT045,2876.1706606803996
FDV21,OUT019,279.15849476443606
FDB53,OUT046,2517.2456071686643
DRP47,OUT019,572.2743400758525
FDA14,OUT013,2461.732563120642
DRC24,OUT035,2542.3900952472854
FDW21,OUT018,1617.3874515310733
NCH29,OUT046,1545.3170502124653
FDU58,OUT013,3086.7862834243087
FDY27,OUT017,2902.3984515036577
FDV56,OUT035,1656.4244194518637
FDT59,OUT046,3830.933418014021
FDB23,OUT046,3779.4875530010077
FDR49,OUT045,762.9514483209589
FDB03,OUT010,572.9158210067618
FDN39,OUT045,2621.6674226720843
FDX02,OUT027,5863.589520526498
FDQ16,OUT027,2883.0722645380692
FDU35,OUT018,1558.0420729383727
NCT29,OUT013,2004.5274520037922
FDZ27,OUT046,799.4304989233362
FDN57,OUT017,2042.0492218520512
FDA03,OUT018,2435.2350521607455
FDZ36,OUT045,3117.8534526487656
NCU05,OUT013,1409.1808391837467
FDT39,OUT018,2376.206976644209
FDK60,OUT017,1539.7526552293368
FDZ25,OUT017,2803.4172120944895
FDG12,OUT046,2077.2331426600317
DRB01,OUT019,505.223397665431
NCC43,OUT027,5863.589520526498
FDX13,OUT019,571.4749631705043
FDM22,OUT049,872.7638998585518
FDJ03,OUT027,1069.8776228578388
FDU14,OUT018,3775.2938132270942
FDB33,OUT010,377.6347577523973
FDP27,OUT046,3130.814982175713
FDO38,OUT010,160.4568882862597
FDE28,OUT027,5863.589520526498
FDO27,OUT035,1518.5014853664645
DRL23,OUT027,2881.659609877663
FDS28,OUT046,939.1923079812005
FDX24,OUT013,1465.642055382423
FDZ02,OUT035,1539.1577876401925
FDL46,OUT045,1909.39839228078
FDS60,OUT027,4793.87696083767
NCO06,OUT017,594.2126036167953
FDO16,OUT035,1360.3920781761235
FDC60,OUT049,1366.716818358345
FDA48,OUT018,3426.217137554276
FDZ36,OUT027,5170.057386068645
FDK27,OUT045,2029.472747787543
FDW23,OUT018,606.2334265060059
FDM14,OUT018,1683.185160985359
FDM14,OUT013,1649.157456678568
FDW60,OUT018,2823.167676895545
FDE21,OUT013,1949.0558007252414
NCM42,OUT035,1657.8273043262595
FDY59,OUT010,228.99274603884675
DRI49,OUT049,1300.1252152033428
FDT28,OUT019,364.1109888054175
FDQ22,OUT018,605.178727592672
FDR60,OUT049,1261.2701651665845
FDC50,OUT019,237.09609079371884
FDV24,OUT013,2399.9851849483257
DRF48,OUT010,491.67948766435666
FDQ47,OUT046,636.2283073622302
DRN36,OUT049,1541.3454383981705
NCY06,OUT035,2024.2086453449342
FDE52,OUT035,1390.3169184119533
NCB54,OUT045,2005.1015888818145
NCF31,OUT035,2494.6317499636157
FDJ08,OUT027,5192.354153682328
NCC07,OUT017,1644.2272861508077
NCD19,OUT027,1253.9863518340396
FDL46,OUT049,1976.296734715167
FDM20,OUT045,3952.094480209601
NCI06,OUT010,449.3027347968927
DRM11,OUT035,4218.47625572576
NCH07,OUT018,2491.9445220841085
FDS23,OUT013,2032.1346753515747
FDO49,OUT018,755.4604455717442
FDS35,OUT049,1066.9184091642528
DRK39,OUT045,1339.8740092917576
DRI39,OUT049,915.8288256830513
FDV04,OUT017,2509.295235625882
NCN14,OUT035,3038.0157871612155
FDH08,OUT013,3771.2488055561485
FDS20,OUT046,3144.3104889738966
FDV40,OUT049,1142.6953839769608
FDZ48,OUT010,254.2869303803159
FDS24,OUT027,2525.577952634718
FDK44,OUT049,2886.05359425919
FDS48,OUT045,2528.145927586342
FDK26,OUT010,491.67948766435666
FDD23,OUT045,3097.4631065827234
NCH54,OUT017,2586.052796662845
NCP14,OUT010,240.70527542362302
FDM60,OUT010,131.35352198113156
FDV24,OUT017,2445.345194091589
FDH08,OUT018,3544.4845382663298
FDS12,OUT027,2996.0615189490577
FDR39,OUT027,4846.984166027592
FDP12,OUT027,981.5681895938317
DRF60,OUT027,5863.589520526498
FDC09,OUT035,1647.145045314319
FDF50,OUT018,3004.8690418917276
FDG28,OUT035,3957.9432903903858
NCE19,OUT017,868.3488003037119
NCM53,OUT010,248.7601689001279
NCN18,OUT049,1718.0046506538822
FDF32,OUT035,3155.3207791533246
FDF11,OUT013,3883.332877724292
DRI59,OUT049,3766.9053756907024
NCG54,OUT035,2801.944451430225
FDM44,OUT046,1640.5391523988185
FDT57,OUT018,3597.054643408275
FDV24,OUT046,2454.253851204137
FDI50,OUT019,571.2400734414255
FDS09,OUT035,769.9838892994459
NCC31,OUT027,4093.7108006351004
FDQ07,OUT019,572.2743400758525
FDC22,OUT017,3117.59858348512
FDZ56,OUT046,2801.6462173731625
FDZ40,OUT019,131.35352198113156
FDS46,OUT027,2932.463769406995
DRD24,OUT045,2070.249306667315
