Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1870.9364654520052
FDW14,OUT017,1610.8118907402913
NCN55,OUT010,1843.2575138959828
FDQ58,OUT017,2581.232417618602
FDY38,OUT027,5076.4668065541855
FDH56,OUT046,1938.2510808457919
FDL48,OUT018,668.2612149990019
FDC48,OUT027,2800.486439930191
FDN33,OUT045,1546.435541563903
FDA36,OUT017,3056.751577054088
FDT44,OUT017,2005.944444189394
FDQ56,OUT045,1358.24400034057
NCC54,OUT019,1810.584643702016
FDU11,OUT049,2062.939792008616
DRL59,OUT013,956.844811858029
FDM24,OUT049,2541.612529023069
FDI57,OUT045,3049.9004147437477
DRC12,OUT018,2722.714575362832
NCM42,OUT027,3191.1649887797494
FDA46,OUT010,1129.8708359387165
FDA31,OUT013,2778.3524747623583
NCJ31,OUT035,3788.2829431043942
FDG52,OUT046,867.7438139398254
NCL19,OUT019,404.42073031897246
FDS10,OUT035,2988.764935072381
FDX22,OUT010,1457.7891230862901
NCF19,OUT035,989.547266059689
NCE06,OUT046,2516.148421544035
DRC27,OUT046,3762.1256912451618
FDE21,OUT035,2044.2578987776747
NCR42,OUT019,-1241.7343517774948
FDX51,OUT018,2836.824337694738
NCR06,OUT018,511.450499406229
FDU31,OUT027,4862.749200707995
FDU59,OUT017,2691.9284494675294
FDR03,OUT027,4680.570294143797
FDS49,OUT027,2769.713424415951
FDD48,OUT010,-2.056385443338172
NCF18,OUT017,3073.71352905962
NCD43,OUT027,3101.8901729144122
NCD54,OUT018,1996.7967687421103
FDY19,OUT010,27.52113838814978
NCY54,OUT017,2778.561679879825
NCL19,OUT018,2024.906490658664
FDP23,OUT010,1524.9544038345402
FDC26,OUT013,1841.4341011788956
FDR14,OUT010,-942.4948353885738
NCS41,OUT035,2993.1180545553307
FDF41,OUT035,3958.7175917734953
FDU34,OUT046,2006.0461866922794
DRH11,OUT046,980.0599590158234
FDM03,OUT013,1760.264784728754
FDS31,OUT017,2995.3103531339652
FDJ20,OUT017,2104.9855065492875
FDV44,OUT027,4427.913269982615
FDG02,OUT049,3073.4510222427116
FDA09,OUT013,2899.8375753618793
FDT04,OUT013,751.9451197344964
FDL58,OUT019,2232.0887638739773
FDE52,OUT045,1492.447536329965
FDW12,OUT035,2501.2984504376795
FDL51,OUT017,3494.545598068193
NCY42,OUT027,3664.3200031722313
FDR07,OUT017,1693.4805948892174
FDN40,OUT045,2361.743035862332
FDB35,OUT027,2963.2574421190657
FDA22,OUT017,2718.354722454341
NCL06,OUT046,4017.9521190490464
FDI35,OUT013,2890.848625783278
NCW42,OUT045,3358.3664300504133
NCX06,OUT049,2909.9872891163
FDC37,OUT027,3196.9359737157956
FDZ14,OUT018,1754.1866227820558
DRG49,OUT049,3865.8714273148767
NCG06,OUT045,3881.246889794557
DRC36,OUT045,2699.0626223094137
FDV21,OUT019,86.75647018690631
FDB53,OUT046,2338.510838268293
DRP47,OUT019,1968.4565467845068
FDA14,OUT013,2347.8183877597307
DRC24,OUT035,2552.1353421618005
FDW21,OUT018,1446.5410348335179
NCH29,OUT046,1586.4751469260268
FDU58,OUT013,3047.8547459275937
FDY27,OUT017,2910.924487611223
FDV56,OUT035,1974.1349300044487
FDT59,OUT046,3592.0287413359915
FDB23,OUT046,3558.893524471565
FDR49,OUT045,766.6080449919165
FDB03,OUT010,1866.5885058011195
FDN39,OUT045,2597.923418646571
FDX02,OUT027,4891.8098682184045
FDQ16,OUT027,3188.1124286770087
FDU35,OUT018,1364.6144161687478
NCT29,OUT013,1978.7685298562976
FDZ27,OUT046,891.3128422733246
FDN57,OUT017,2348.158789031705
FDA03,OUT018,2095.2583942193896
FDZ36,OUT045,2898.0120538219157
NCU05,OUT013,1373.7691648915838
FDT39,OUT018,2193.0036240130325
FDK60,OUT017,1736.2431680440259
FDZ25,OUT017,2825.7097561880337
FDG12,OUT046,2031.479832131919
DRB01,OUT019,1099.7054296940719
NCC43,OUT027,5257.715660662037
FDX13,OUT019,1989.6540382442718
FDM22,OUT049,1090.851697621673
FDJ03,OUT027,2345.8533153919866
FDU14,OUT018,3591.4796657773754
FDB33,OUT010,670.515889471929
FDP27,OUT046,2969.159430184851
FDO38,OUT010,-580.4193627799357
FDE28,OUT027,5040.1103999175475
FDO27,OUT035,1722.7619973469184
DRL23,OUT027,3161.0783668664235
FDS28,OUT046,1026.3963787905734
FDX24,OUT013,1587.5466084451807
FDZ02,OUT035,1782.9575716040067
FDL46,OUT045,1837.5833633987386
FDS60,OUT027,4242.442278152792
NCO06,OUT017,710.5571750309576
FDO16,OUT035,1576.4823722132455
FDC60,OUT049,1578.2094822076604
FDA48,OUT018,3139.534008919304
FDZ36,OUT027,4385.394666881043
FDK27,OUT045,1910.7564624200552
FDW23,OUT018,465.49364117744767
FDM14,OUT018,1541.3331578989566
FDM14,OUT013,1818.1024986526313
FDW60,OUT018,2586.456584621056
FDE21,OUT013,1937.1351539239922
NCM42,OUT035,1909.407277101259
FDY59,OUT010,-299.27223318809627
DRI49,OUT049,1397.8426263437182
